epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2553,2.68955,11.2151,1.08705,0.0003,0.09091,0.00017,4e-05,2.46167,9.90386,1.19239,4e-05,4e-05,4e-05
2,34.102,2.47615,9.67093,1.09112,0.00053,0.15909,0.00032,0.0001,2.22615,7.97524,1.16185,9.934e-05,9.934e-05,9.934e-05
3,50.3583,2.22982,9.0408,1.07787,0.00144,0.43182,0.00112,0.0003,2.12718,7.36314,1.14497,0.000157888,0.000157888,0.000157888
4,65.625,2.48472,7.12985,1.05991,0.00227,0.68182,0.00329,0.00094,2.06645,7.5278,1.03371,0.000215644,0.000215644,0.000215644
5,80.4637,2.37244,6.57202,1.04691,0.00235,0.70455,0.00415,0.00113,2.03819,7.26629,1.02594,0.000272608,0.000272608,0.000272608
6,95.654,2.31779,5.75688,1.08873,0.00235,0.70455,0.0042,0.00105,1.83751,6.61739,1.01252,0.00032878,0.00032878,0.00032878
7,110.234,2.35397,6.25309,1.11299,0.0022,0.65909,0.00357,0.00103,1.72544,6.26512,0.97572,0.00038416,0.00038416,0.00038416
8,125.662,1.96113,4.74654,0.97874,0.00227,0.68182,0.00365,0.00105,1.69107,6.22164,0.96032,0.000438748,0.000438748,0.000438748
9,140.211,1.96792,4.35469,0.94946,0.0022,0.65909,0.00323,0.00095,1.70927,6.37631,0.94965,0.000492544,0.000492544,0.000492544
10,155.152,1.9181,4.44405,0.97748,0.0022,0.65909,0.00303,0.00089,1.82193,6.53552,0.96822,0.000545548,0.000545548,0.000545548
11,170.193,1.80213,4.88935,0.96323,0.00197,0.59091,0.00226,0.00063,1.85564,6.52194,0.98665,0.00059776,0.00059776,0.00059776
12,188.369,1.93608,4.36682,1.03441,0.00189,0.56818,0.00199,0.00057,1.84085,6.46636,0.97819,0.00064918,0.00064918,0.00064918
